,TEMPERATURE (°C),RAINFALL (mm),ACTUAL CONDITION,OCCURENCE OF FLOOD
2024-09-01 00:00:00,31.06521215053838,0.915440640783341,0.5716063763385384,0.979542983325835
2024-09-01 08:00:00,30.13041173409909,1.9983470425786818,0.6334510842045113,0.9630465507539381
2024-09-01 16:00:00,32.09968477764921,-0.19033980324195604,0.4152873424495048,0.9959224777409266
2024-09-02 00:00:00,31.326935604283896,0.9332592444495864,0.5119479399618045,0.9808839694540301
2024-09-02 08:00:00,30.339131397033775,2.065506706580538,0.5885155351729833,0.9656295121422647
2024-09-02 16:00:00,32.305302212991876,-0.20774092291109958,0.36585679850175085,0.996395309942607
2024-09-03 00:00:00,31.44424499168054,0.9239434546677583,0.45361346323385643,0.9810080679851375
2024-09-03 08:00:00,30.45389411853624,2.0581048439562752,0.5304563849846852,0.9656736139829102
2024-09-03 16:00:00,32.41991592255438,-0.21842188211562016,0.3077134799649585,0.9965753530912317
2024-09-04 00:00:00,31.5546180512181,0.9135760315733392,0.39530343749813956,0.9812105775987737
2024-09-04 08:00:00,30.564144884363852,2.047811639684618,0.47215151413719353,0.965881277217053
2024-09-04 16:00:00,32.530159532664975,-0.2288422440694603,0.24940703324646804,0.9967742585913452
2024-09-05 00:00:00,31.66465802068449,0.9031678280066973,0.33699386954690097,0.9814080357439293
2024-09-05 08:00:00,30.674178981152775,2.037406314195334,0.4138420427001187,0.9660784033510001
2024-09-05 16:00:00,32.64019328582855,-0.23925250051334657,0.1910975323046076,0.996971948923967
2024-09-06 00:00:00,31.774681994801984,0.8927580430440009,0.2786843101666893,0.9816058193193634
2024-09-06 08:00:00,30.784202673257877,2.0269966408394917,0.3555324851269264,0.966276208315561
2024-09-06 16:00:00,32.75021696143241,-0.24966236508306475,0.13278797417900198,0.99716971754121
2024-09-07 00:00:00,31.884705200805374,0.8823481967575065,0.2203747509469516,0.9818035819296335
2024-09-07 08:00:00,30.89422586571873,2.0165867988809176,0.29722292594102134,0.9664739695478812
2024-09-07 16:00:00,32.86024015310085,-0.2600722144565819,0.074478414982754,0.9973674811151299
2024-09-08 00:00:00,,,,
2024-09-08 08:00:00,,,,
2024-09-08 16:00:00,,,,
2024-09-09 00:00:00,,,,
2024-09-09 08:00:00,,,,
2024-09-09 16:00:00,,,,
2024-09-10 00:00:00,,,,
2024-09-10 08:00:00,,,,
2024-09-10 16:00:00,,,,
2024-09-11 00:00:00,,,,
2024-09-11 08:00:00,,,,
2024-09-11 16:00:00,,,,
2024-09-12 00:00:00,,,,
2024-09-12 08:00:00,,,,
2024-09-12 16:00:00,,,,
2024-09-13 00:00:00,,,,
2024-09-13 08:00:00,,,,
2024-09-13 16:00:00,,,,
2024-09-14 00:00:00,,,,
2024-09-14 08:00:00,,,,
2024-09-14 16:00:00,,,,
2024-09-15 00:00:00,,,,
2024-09-15 08:00:00,,,,
2024-09-15 16:00:00,,,,
2024-09-16 00:00:00,,,,
2024-09-16 08:00:00,,,,
2024-09-16 16:00:00,,,,
2024-09-17 00:00:00,,,,
2024-09-17 08:00:00,,,,
2024-09-17 16:00:00,,,,
2024-09-18 00:00:00,,,,
2024-09-18 08:00:00,,,,
2024-09-18 16:00:00,,,,
2024-09-19 00:00:00,,,,
2024-09-19 08:00:00,,,,
2024-09-19 16:00:00,,,,
2024-09-20 00:00:00,,,,
2024-09-20 08:00:00,,,,
2024-09-20 16:00:00,,,,
2024-09-21 00:00:00,,,,
2024-09-21 08:00:00,,,,
2024-09-21 16:00:00,,,,
2024-09-22 00:00:00,,,,
2024-09-22 08:00:00,,,,
2024-09-22 16:00:00,,,,
2024-09-23 00:00:00,,,,
2024-09-23 08:00:00,,,,
2024-09-23 16:00:00,,,,
2024-09-24 00:00:00,,,,
2024-09-24 08:00:00,,,,
2024-09-24 16:00:00,,,,
2024-09-25 00:00:00,,,,
2024-09-25 08:00:00,,,,
2024-09-25 16:00:00,,,,
2024-09-26 00:00:00,,,,
2024-09-26 08:00:00,,,,
2024-09-26 16:00:00,,,,
2024-09-27 00:00:00,,,,
2024-09-27 08:00:00,,,,
2024-09-27 16:00:00,,,,
2024-09-28 00:00:00,,,,
2024-09-28 08:00:00,,,,
2024-09-28 16:00:00,,,,
2024-09-29 00:00:00,,,,
2024-09-29 08:00:00,,,,
2024-09-29 16:00:00,,,,
2024-09-30 00:00:00,,,,
2024-09-30 08:00:00,,,,
2024-09-30 16:00:00,,,,
2024-10-01 00:00:00,,,,
2024-10-01 08:00:00,,,,
2024-10-01 16:00:00,,,,
2024-10-02 00:00:00,,,,
2024-10-02 08:00:00,,,,
2024-10-02 16:00:00,,,,
2024-10-03 00:00:00,,,,
2024-10-03 08:00:00,,,,
2024-10-03 16:00:00,,,,
2024-10-04 00:00:00,,,,
2024-10-04 08:00:00,,,,
2024-10-04 16:00:00,,,,
2024-10-05 00:00:00,,,,
2024-10-05 08:00:00,,,,
2024-10-05 16:00:00,,,,
2024-10-06 00:00:00,,,,
2024-10-06 08:00:00,,,,
2024-10-06 16:00:00,,,,
2024-10-07 00:00:00,,,,
2024-10-07 08:00:00,,,,
2024-10-07 16:00:00,,,,
2024-10-08 00:00:00,,,,
2024-10-08 08:00:00,,,,
2024-10-08 16:00:00,,,,
2024-10-09 00:00:00,,,,
2024-10-09 08:00:00,,,,
2024-10-09 16:00:00,,,,
2024-10-10 00:00:00,,,,
2024-10-10 08:00:00,,,,
2024-10-10 16:00:00,,,,
2024-10-11 00:00:00,,,,
2024-10-11 08:00:00,,,,
2024-10-11 16:00:00,,,,
2024-10-12 00:00:00,,,,
2024-10-12 08:00:00,,,,
